group,location,cpt,total,ok,rate
LOV,ATLANTIC SURGERY LSR CTR,00142,128,123,0.9609
PRM-WHT,WHITEWATER SURGERY CTR,00142,118,118,1.0000
PCE-PMC,PACMED,00812,108,105,0.9722
PCE-CAS,CASCADIA SURGICAL,00142,81,80,0.9877
TAN-ESC,EYE SURGERY CENTER,00142,70,70,1.0000
INJE-CLIK,CLI SURGERY CENTER - KOKOMO,00142,52,50,0.9615
GII-ASC,PEPPER ROAD ENDOSCOPY,00812,45,45,1.0000
WPA,West Plains Ambulatory Surgery Center,00142,34,33,0.9706
AHG,ASSOCIATED SURGICAL CENTER LLC,00812,25,25,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,00812,21,20,0.9524
IAS-FVO,FOX VALLEY ORTHO ASSOC SC,01402,20,19,0.9500
WPA,West Plains Ambulatory Surgery Center,00170,17,17,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00840,16,16,1.0000
TAN-ESC,EYE SURGERY CENTER,00140,15,15,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,00902,14,14,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,01938,13,13,1.0000
PCE-WWMG,WESTERN WASHINGTON MED GRP,00813,12,12,1.0000
PRM,MARGARET MARY HEALTH CTR,00142,9,9,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00952,9,9,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,00320,8,8,1.0000
RIV-RADEL,RIVERVIEW HOSPITAL,00812,8,8,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00400,8,8,1.0000
PRI-RSL,RETINA CONSULTANTS OF NEW ORLEANS SURGERY LLC,00145,8,8,1.0000
APO-ORA,ORA SURGERY CENTER,01402,7,7,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,01214,7,7,1.0000
ANA-ORA,ORA SURGERY CENTER,01400,7,7,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00142,7,7,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,00145,6,6,1.0000
GAP,FINLEY HOSPITAL,00142,6,6,1.0000
GOS-GOH,GOSHEN HOSPITAL,00940,6,6,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,01630,6,6,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00840,6,6,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00300,6,6,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00811,6,6,1.0000
ANA-ORA,ORA SURGERY CENTER,01402,6,6,1.0000
ANA-ORA,ORA SURGERY CENTER,01630,6,6,1.0000
MKI,LOUISIANA SURGERY CENTER,01400,6,6,1.0000
SIO-STL,ST LUKES REGIONAL MEDICAL CENTER,01480,5,5,1.0000
RIV-RADEL,RIVERVIEW HOSPITAL,00813,5,5,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,01480,5,5,1.0000
INJE-CHB,COMMUNITY HOSPITAL OF BREMEN,00812,5,5,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00813,5,5,1.0000
ANA-ORA,ORA SURGERY CENTER,01480,5,5,1.0000
EAP-CMI,CENTER FOR MINIMALLY INV SURG,01937,5,5,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,00126,4,4,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,00920,4,4,1.0000
GOS-GOH,GOSHEN HOSPITAL,01402,4,4,1.0000
IAS-MOR,MORRIS HOSPITAL,00830,4,4,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00142,4,4,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,01480,4,4,1.0000
TAN-ESC,EYE SURGERY CENTER,00145,4,4,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,01402,4,4,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00840,4,4,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00902,4,4,1.0000
INJE-NRSC,NORTHWEST REGIONAL SURG CTR LLC,01810,4,4,1.0000
APO-UTP,UNITY POINT-TERRACE PARK,01214,4,4,1.0000
GAP-UMSC,"UPPER MISSISSIPPI SRG CTR, LLC",01400,4,4,1.0000
TAN-ESC,EYE SURGERY CENTER,00144,4,4,1.0000
SIO-STL,ST LUKES REGIONAL MEDICAL CENTER,36410,4,4,1.0000
IAS-MOR,MORRIS HOSPITAL,01961,4,4,1.0000
EAP-CMI,CENTER FOR MINIMALLY INV SURG,01938,4,4,1.0000
PRM,MARGARET MARY HEALTH CTR,00873,4,4,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00731,4,4,1.0000
PRM,MARGARET MARY HEALTH CTR,00811,3,3,1.0000
TQA-ARSC,ALGONQUIN ROAD SURGERY CTR LLC,00170,3,3,1.0000
TQA-ARSC,ALGONQUIN ROAD SURGERY CTR LLC,01810,3,3,1.0000
GAP,FINLEY HOSPITAL,00410,3,3,1.0000
GAP,FINLEY HOSPITAL,01810,3,3,1.0000
SIO-STL,ST LUKES REGIONAL MEDICAL CENTER,00910,3,3,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,01939,3,3,1.0000
GOS-GOH,GOSHEN HOSPITAL,01916,3,3,1.0000
GOS-GOH,GOSHEN HOSPITAL,00912,3,3,1.0000
PCE-CAS,CASCADIA SURGICAL,00300,3,3,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,01810,3,3,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00940,3,3,1.0000
PAC-MHI,MERCY HOSPITAL,01967,3,3,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,01942,3,3,1.0000
APO-ORA,ORA SURGERY CENTER,01214,3,3,1.0000
GOS-GOSC,GOSHEN HEALTH SURGERY CENTER,01630,3,3,1.0000
RIV-RADEL,RIVERVIEW HOSPITAL,00731,3,3,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00912,3,3,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00400,3,3,1.0000
WPA,West Plains Ambulatory Surgery Center,00813,3,3,1.0000
INJE-NRSC,NORTHWEST REGIONAL SURG CTR LLC,01480,3,3,1.0000
APO-UTP,UNITY POINT-TERRACE PARK,01810,3,3,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,00940,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,01400,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00862,3,3,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00802,3,3,1.0000
TQA-ARSC,ALGONQUIN ROAD SURGERY CTR LLC,01400,3,3,1.0000
PRI-CRS,CTR FOR ROBOTIC SURGERY LA,01402,3,3,1.0000
GOS-GOH,GOSHEN HOSPITAL,00812,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00520,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00912,3,3,1.0000
APO-ORA,ORA SURGERY CENTER,01638,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,00918,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,00830,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,00902,3,3,1.0000
GAP,FINLEY HOSPITAL,01967,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,01402,3,3,1.0000
INJE-NRSC,NORTHWEST REGIONAL SURG CTR LLC,01830,3,3,1.0000
